Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
┏━━━━━━━━━━━━━━┳━━━━━━━╸T╺╸R╺╸A╺╸I╺╸N╺━━━━━━━┳━━━━━━━╸S╺╸T╺╸A╺╸T╺╸S╺━━━━━━━┳━━━━━━━╸V╺╸A╺╸L╺╸I╺╸D╺━━━━━━━┓
┃              ┃              ╷              ┃              ╷              ┃              ╷              ┃
┃       epoch  ┃        loss  │    accuracy  ┃        l.r.  │     elapsed  ┃        loss  │    accuracy  ┃
┠──────────────╂──────────────┼──────────────╂──────────────┼──────────────╂──────────────┼──────────────┨
┃           0  ┃      1.6672  │     19.53 %  ┃   1.000e-01  │   01:45 min  ┠┈██████████████████████▒┈┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3498 | current_val_loss: 1.7998 | running_val_loss: 1.8391 | best_val_loss: 1.4893
┃           0  ┃      1.6490  │     18.91 %  ┃   1.000e-01  │   01:48 min  ┠┈███████████████████████░┈┈┈┈┨Adaptive alpha: 0.0001 | Δ: -0.3302 | current_val_loss: 1.6437 | running_val_loss: 1.8196 | best_val_loss: 1.4893
┃           0  ┃      1.6754  │     21.48 %  ┃   1.000e-01  │   01:52 min  ┠┈████████████████████████┈┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3549 | current_val_loss: 2.0667 | running_val_loss: 1.8443 | best_val_loss: 1.4893
┃           0  ┃      1.6787  │     20.62 %  ┃   1.000e-01  │   01:55 min  ┠┈████████████████████████▒┈┈┈┨Adaptive alpha: 0.0000 | Δ: -0.3431 | current_val_loss: 1.7255 | running_val_loss: 1.8324 | best_val_loss: 1.4893
┃           0  ┃      1.7382  │     18.36 %  ┃   1.000e-01  │   01:58 min  ┠┈█████████████████████████░┈┈┨Adaptive alpha: 0.0001 | Δ: -0.3337 | current_val_loss: 1.7384 | running_val_loss: 1.8230 | best_val_loss: 1.4893
┃           0  ┃      1.7442  │     18.05 %  ┃   1.000e-01  │   02:01 min  ┠┈██████████████████████████┈┈┨Adaptive alpha: 0.0001 | Δ: -0.3247 | current_val_loss: 1.7337 | running_val_loss: 1.8141 | best_val_loss: 1.4893
┃           0  ┃      1.6104  │     21.02 %  ┃   1.000e-01  │   02:04 min  ┠┈██████████████████████████▓┈┨Adaptive alpha: 0.0001 | Δ: -0.3192 | current_val_loss: 1.7584 | running_val_loss: 1.8085 | best_val_loss: 1.4893
┃           0  ┃      1.6683  │     19.42 %  ┃   1.000e-01  │   02:06 min  ┃      1.9753  │     10.49 %  ┃
Adaptive alpha: 0.0001 | Δ: -0.3260 | current_val_loss: 1.8773 | running_val_loss: 1.8154 | best_val_loss: 1.4893
┃           1  ┃      1.7962  │     19.27 %  ┃   1.000e-01  │   00:04 min  ┠┈▓┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┨Adaptive alpha: 0.0001 | Δ: -0.3106 | current_val_loss: 1.6606 | running_val_loss: 1.7999 | best_val_loss: 1.4893
